06/09/2012,18,50,10,24.88888888888889
06/10/2012,20,30,10,16.9
06/11/2012,9,50,10,27.666666666666668
06/12/2012,7,50,10,22.857142857142858
06/13/2012,3,45,20,36.666666666666664
06/14/2012,4,20,-999,-238.75
06/15/2012,15,20,5,9.666666666666666
06/16/2012,3,10,10,10
06/17/2012,4,10,5,8.75
06/18/2012,11,30,3,12.727272727272727
06/19/2012,4,20,10,12.5
06/20/2012,4,30,5,17
06/21/2012,2,30,10,20
06/22/2012,12,30,3,15.083333333333334
06/23/2012,9,15,3,9.333333333333334
06/25/2012,2,10,5,7.5
06/26/2012,4,60,10,33
06/27/2012,3,80,40,63.333333333333336
06/28/2012,8,50,-999,-99.875
06/29/2012,11,20,-999,-81.81818181818181
06/30/2012,6,20,10,11.666666666666666
07/01/2012,10,20,5,13.6
07/02/2012,8,45,10,24.375
07/03/2012,9,30,20,26.666666666666668
07/04/2012,9,10,-999,-102.77777777777777
07/05/2012,10,45,5,20.9
07/06/2012,16,40,10,19
07/07/2012,7,15,10,11.428571428571429
07/08/2012,13,30,10,21.923076923076923
07/09/2012,4,20,3,10.75
07/10/2012,7,45,5,20
07/11/2012,6,40,10,23
07/12/2012,12,50,10,23.333333333333332
07/13/2012,9,30,5,11.666666666666666
07/14/2012,3,35,20,25
07/15/2012,13,20,4,11.307692307692308
07/16/2012,17,60,4,25.529411764705884
07/17/2012,4,10,1,7
07/18/2012,4,30,-999,-486.75
07/19/2012,14,60,-999,-123
07/20/2012,18,40,6,20.444444444444443
07/21/2012,10,40,-999,-82.9
07/22/2012,4,50,10,25
07/23/2012,10,20,6,17.7
07/24/2012,8,90,10,32
07/25/2012,5,50,20,38
07/26/2012,11,40,4,21.727272727272727
07/27/2012,12,30,9,20.75
07/28/2012,3,20,5,15
07/29/2012,6,10,0,7.333333333333333
07/30/2012,8,20,5,16.875
07/31/2012,11,22,-999,-80.72727272727273
08/01/2012,5,30,10,22
08/02/2012,8,50,-999,-103.125
08/03/2012,7,20,4,9.428571428571429
08/04/2012,6,10,0,5.5
08/06/2012,15,50,10,17.466666666666665
08/07/2012,19,110,-999,-32.89473684210526
08/08/2012,31,80,13,48.16129032258065
08/09/2012,29,40,7,18.517241379310345
08/10/2012,26,90,10,15.846153846153847
08/11/2012,21,20,0,10.714285714285714
08/12/2012,27,20,6,11.88888888888889
08/13/2012,23,60,10,19.130434782608695
08/14/2012,22,30,5,13.545454545454545
08/15/2012,27,50,-999,-12.296296296296296
08/16/2012,31,20,6,13.451612903225806
08/17/2012,26,30,-999,-23.53846153846154
08/18/2012,21,50,10,15.714285714285714
08/19/2012,27,25,2,13.74074074074074
08/20/2012,17,40,-999,-43.588235294117645
08/21/2012,24,150,10,17.916666666666668
08/22/2012,24,60,10,25.416666666666668
08/23/2012,30,30,6,13.4
08/24/2012,36,80,5,13.916666666666666
08/25/2012,35,30,2,12.485714285714286
08/26/2012,29,30,10,16.586206896551722
08/27/2012,27,20,1,9.851851851851851
08/28/2012,28,30,6,11.75
08/29/2012,14,100,6,16.142857142857142
08/28/2012,19,10,5,9.473684210526315
08/28/2012,35,100,10,18.857142857142858
08/29/2012,76,50,10,24.342105263157894
08/30/2012,79,30,0,12.91139240506329
08/31/2012,72,20,5,11.38888888888889
09/01/2012,87,20,5,10.275862068965518
09/02/2012,89,40,0,12.98876404494382
09/03/2012,68,20,10,10.735294117647058
09/04/2012,54,30,5,9.907407407407407
09/05/2012,51,10,5,8.627450980392156
09/06/2012,48,10,10,10
09/07/2012,50,20,7,10.74
09/08/2012,66,20,6,12.606060606060606
09/09/2012,54,10,5,9.814814814814815
09/10/2012,39,20,-999,-64.84615384615384
09/11/2012,56,30,1,11.464285714285714
09/12/2012,60,20,3,13
